Name,Operation,Command Sent,Response Received,Medium of transmission,Date and Time
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:04
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:05
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:06
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:07
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:08
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:09
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:10
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:11
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:12
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:13
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:14
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:15
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:16
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:17
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:18
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:19
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:21
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:21
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:23
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:24
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:25
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:26
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:27
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:28
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:29
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:30
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:31
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:32
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:33
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:34
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:35
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:36
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:50:36
